ID,Club,ExperienciaPrevia,Sexo,Residencia,Escolaridad,Insecto,EscalaFacial,EscalaCalificativa,Sabor-Dulce,Sabor-Salado,Sabor-Ácido,Sabor-Amargo,Sabor-Humánico,Sabor-Fermentado,Sabor-Afrutado,Sabor-Astringente,Sabor-Picante,Sabor-Metálico,Textura-Gránulo,Textura-Grumoso,Textura-Compacto,Textura-Gomoso,Textura-Rugosa,Textura-Grasa,Textura-Humedad,Textura-Fácil de romper,Aroma-Láctico,Aroma-Vegetal,Aroma-Animal,Aroma-Quemado,Aroma-Mantequilla,EscalaPreferencia,VolveriasAConsumir
1,XAL01,Si,F,Foráneo,Universidad,Chapulín,4,10,1,3,3,1,2,1,2,1,2,1,1,2,3,3,1,1,3,3,1,1,3,1,2,1,Si
1,XAL01,Si,F,Foráneo,Universidad,Tenebrios,5,9,1,3,3,1,3,1,1,3,1,1,1,1,1,1,3,1,3,3,1,3,1,1,3,2,Si
2,XAL01,No,M,Local,Preparatoria,Chapulín,5,8,1,3,3,1,1,2,1,1,1,1,1,2,1,2,3,1,2,2,1,2,2,1,1,1,Si
2,XAL01,No,M,Local,Preparatoria,Tenebrios,5,7,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,3,1,2,3,3,1,2,Si
3,XAL 1,No,F,Xalapa,Universidad,Tenebrio,3,10,2,3,1,1,1,1,1,3,1,1,1,1,3,1,2,1,1,3,1,2,1,1,3,1ER,SÍ
3,XAL 1,No,F,Xalapa,Universidad,Chapulín,2,6.5,1,3,3,1,2,1,1,3,3,1,1,1,3,1,3,1,2,2,2,1,1,3,1,2DO,SÍ
4,XAL 1,No,M,Xalapa,Prepa,Tenebrio,3,8,1,1,1,1,3,1,1,2,1,2,3,1,3,1,1,1,1,3,1,2,1,1,1,2do,SÍ
4,XAL 1,No,M,Xalapa,Prepa,Chapulín,3,8,1,2,2,1,2,1,1,1,2,1,2,1,2,1,2,1,1,3,1,3,1,2,1,1er,SÍ
5,XAL 2,Sí,F,Foráneo,Universidad,Tenebrio,3,4,1,2,1,1,1,1,1,3,1,1,2,3,3,1,2,1,1,3,1,1,1,1,1,1er,SÍ
5,XAL 2,Sí,F,Foráneo,Universidad,Chapulín,1,3,1,3,3,1,1,1,2,1,1,1,1,3,1,2,1,2,3,1,1,1,1,1,1,2do,SÍ
6,XAL2,No,M,Foráneo,Prepa,Tenebrio,3,7,2,2,1,2,2,1,2,1,1,2,3,2,1,2,2,1,1,1,2,2,3,1,1,1er,SÍ
6,XAL2,No,M,Foráneo,Prepa,Chapulín,4,6,1,3,2,2,1,1,1,1,1,1,2,2,1,1,3,2,2,2,1,1,2,1,1,2do,SÍ
7,xal1,si,h,local,universidad,Tenebrio,2,10,2,1,1,1,1,1,1,3,1,1,1,2,3,1,1,2,1,3,1,2,1,1,2,Chapulines,Si
7,xal1,si,h,local,universidad,Chapulín,5,10,1,2,3,1,2,1,1,1,1,1,1,1,3,1,3,1,2,3,1,1,1,2,1,Chapulines,Si
